face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
(｡・́︿・̀｡)	173	3	HN-D,HN-S,LN	HN-D:13; HN-S:47; LN:113	1.0	0.0	0.653179190751445	0.6536050420168067	True	
(⊙_⊙)	95	3	HN-D,HN-S,NB	HN-D:14; HN-S:73; NB:8	0.3263157894736842	0.22917411639028676	0.7684210526315789	0.4421052631578948	False	
(๑˃‿˂)	73	2	HP,LP	HP:70; LP:3	0.8783333333333333	0.08538583454379736	0.958904109589041	0.9453055555555555	False	
(・_・)	44	2	HN-S,NB	HN-S:5; NB:39	0.8861111111111111	0.07049209744694176	0.8863636363636364	0.7384722222222221	True	
(｡◕‿◕｡)	28	2	LP,NB	LP:9; NB:19	0.96	0.07999999999999999	0.6785714285714286	0.7133333333333334	True	
(‿‿‿)	26	2	LP,NB	LP:13; NB:13	1.0	0.0	0.5	0.7086666666666667	True	
(｡♥‿♥｡)	20	2	HP,LP	HP:4; LP:16	0.8	0.0	0.8	0.7774999999999999	True	
(˘▽˘)	13	2	HP,LP	HP:10; LP:3	0.7666666666666666	0.023570226039551608	0.7692307692307693	0.7666666666666666	False	
(✿◠‿◠)	8	2	HP,LP	HP:4; LP:4	1.0	0.0	0.5	0.8874999999999993	True	
(╥﹏╥)	6	2	HN-S,HP	HN-S:3; HP:3	0.5	0.0	0.5	0.5	False	
