first_word	n	median_within_consistency	dominant_quadrant	HP_n	LP_n	HN_n	LN_n	NB_n
(>_<)	6	0.9981560707092285	HN-D	0	0	0	0	0
(　´∀`　)	3	0.9980345964431763	HN-S	0	0	0	1	0
(>‿◠)	3	0.9979177117347717	HN-S	0	0	0	1	0
(✿◕‿◕✿)	3	0.9978355169296265	LP	0	2	0	0	1
(⁄	6	0.9975895285606384	LN	1	1	0	2	2
(✿‿❀)	3	0.9975433349609375	HP	3	0	0	0	0
(ᵒ̌ᴥᵒ̌)	8	0.9974300861358643	LN	0	0	0	6	0
(ᵔㅂᵔ)	7	0.9974170327186584	HN-S	0	0	0	0	1
(ﾟ‿ﾟ)	3	0.9972516894340515	LP	0	2	0	0	1
(¬‿¬)	3	0.9971851110458374	HN-D	0	0	0	1	0
(ﾉ◕ヮ◕)	5	0.9971083402633667	HP	5	0	0	0	0
(ᵒ̌ᵃᵒ̌)	4	0.9970436096191406	HP	1	0	0	1	0
(´艸`)	24	0.9969820380210876	LN	0	2	0	9	0
(╥﹏╥)	26	0.9969590902328491	HN-D	0	0	0	5	1
(〃ﾟ3ﾟ〃)	3	0.9969208240509033	HN-D	0	0	0	1	0
(＾▽＾)	3	0.9968776106834412	LP	0	2	0	0	1
(╥_╥)	18	0.9967641830444336	HN-D	1	0	0	3	1
(╯°□°)	41	0.9967196583747864	HN-D	3	1	0	10	1
(´▽`)	5	0.996540904045105	HP	2	0	0	2	0
(ﾟдﾟ)	29	0.9965268969535828	HN-D	3	1	0	3	2
(・‿・)	20	0.9964943528175354	NB	0	8	0	0	12
(ᵒ̌ᵐᵒ̌)	4	0.9964691996574402	HN-S	1	0	0	0	0
(๑˃‿˂)	11	0.9964467883110046	HP	8	0	0	1	0
(^-^)	18	0.9964200258255005	NB	0	4	0	2	11
(ﾟヘﾟ)	3	0.9963371753692627	HN-S	0	0	0	0	0
(=^-ω-^=)	22	0.9963346719741821	NB	2	4	0	3	6
(・̀ω・́)	22	0.9963090419769287	NB	2	3	0	4	7
(˘³˘)	29	0.9963027834892273	LN	0	8	0	12	2
(´ω`)	36	0.996275782585144	LN	4	2	0	10	2
(ᵔᴥᵔ)	55	0.9962026476860046	HN-D	9	3	0	14	2
(⊙_☉;)	5	0.996162474155426	HN-S	0	0	0	1	0
(・_・)	51	0.9961438775062561	LN	4	2	0	16	8
(ᵔㅅᵔ)	4	0.996129035949707	HN-D	1	1	0	0	0
(ᵔ‿ᵔ)	5	0.9961240887641907	HN-D	1	0	0	1	0
(⌒_⌒;)	4	0.9960459470748901	LN	0	1	0	2	0
(⌒‿⌒)	12	0.9959214925765991	LP	0	6	0	0	6
(☞ﾟヮﾟ)	5	0.9958299398422241	HN-S	0	1	0	1	1
(✿╹‿╹)	18	0.9957947134971619	NB	2	6	0	1	7
(^_^)	16	0.9957777261734009	NB	3	4	0	0	9
(＾‿＾)	34	0.9957644939422607	NB	10	7	0	2	12
(=^-^=)	6	0.9956504106521606	LP	0	2	0	2	1
(ᵒ̌ᵗᵒ̌)	4	0.9956101179122925	HN-S	1	0	0	1	0
(^▽^)	12	0.9954906105995178	NB	4	2	0	0	6
(=^・ω・^=)	6	0.9954885244369507	LP	0	2	0	1	2
(⊙_⊙;)	3	0.9954123497009277	LP	0	1	0	0	0
(⁀ᗜ⁀)	19	0.9952886700630188	LN	4	1	0	6	1
(・̀‿・́)	41	0.9952384233474731	HN-D	8	6	0	5	6
(≧‿≦)	60	0.9952019453048706	HP	16	13	0	2	8
(≧▽≦)	8	0.9951889514923096	HP	3	2	0	0	1
(✿◠‿◠)	61	0.9951663613319397	HP	28	16	0	4	11
(´∇`)	3	0.9951214790344238	HP	1	0	0	1	1
(≧ω≦)	5	0.9949240684509277	LP	1	2	0	0	1
(◕‿◕✿)	29	0.9943549633026123	NB	7	7	0	1	11
(✿◕‿◕)	4	0.9943419694900513	HP	2	0	0	1	1
(⊙_◎)	3	0.9943075180053711	HN-S	0	0	0	1	0
(◕‿◕)	5	0.9940418601036072	HP	4	0	0	1	0
(ﾟ∀ﾟ)	6	0.994025468826294	HP	2	1	0	0	2
(⁎˃‿˂⁎)	3	0.9936939477920532	LP	0	3	0	0	0
