first_word	is_claude	is_wild	total_emit_count	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	gemma_emit_count	qwen_emit_count	ministral_emit_count	gpt_oss_20b_emit_count	granite_emit_count	wild_emit_count	wild_providers
(	False	False	30	5	18	0	0	2	5	0	0	0	0	30	0	
((((;°д°))))	True	False	3	0	0	0	3	0	0	0	0	0	0	0	0	
(((;°д°)))	True	False	11	0	0	0	11	0	0	0	0	0	0	0	0	
(((;꒪д꒪)))	True	False	2	0	0	0	2	0	0	0	0	0	0	0	0	
(((o(*°▽°*)o)))	True	False	3	3	0	0	0	0	0	0	0	0	0	0	0	
(((o(*ﾟ▽ﾟ	True	False	5	5	0	0	0	0	0	0	0	0	0	0	0	
(((o(°▽°)o)))	True	False	2	2	0	0	0	0	0	0	0	0	0	0	0	
((⊂(`ω´∩)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
((✿◕‿◕))	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
()	False	False	13	1	0	5	5	1	1	0	0	13	0	0	0	
(-_-;)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,gpt-5.5
(-‸–)	False	False	3	0	0	1	1	1	0	1	0	0	0	0	0	
(..)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(._.)	False	True	1	0	0	0	0	1	0	0	1	0	0	0	2	claude-opus-4-7,gpt-5.5
(/≧▽≦)	False	False	1	0	1	0	0	0	0	0	0	0	0	1	0	
(/▽＼)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(;'ω';)	False	False	1	0	0	0	1	0	0	0	1	0	0	0	0	
(;;)	False	False	6	0	0	0	0	6	0	0	6	0	0	0	0	
(;;_;;)	False	False	2	0	0	0	2	0	0	0	2	0	0	0	0	
(;_;)	False	False	3	0	0	0	1	2	0	0	3	0	0	0	0	
(;`ﾉωﾉ´)	False	False	1	0	1	0	0	0	0	0	0	0	0	1	0	
(;¬_¬)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(;´д`)	True	True	40	0	0	5	8	27	0	0	38	0	0	0	2	claude-opus-4-7,codex-hook
(;´д`ｿ)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(;´༎ຶд༎ຶ`)	False	False	12	0	0	0	5	7	0	0	12	0	0	0	0	
(;´∀`)	False	False	2	0	0	0	0	2	0	0	2	0	0	0	0	
(;´ヮ`)	True	False	1	0	0	0	0	1	0	0	0	0	0	0	0	
(;´꒳`)	False	False	1	0	0	0	0	1	0	0	1	0	0	0	0	
(;ω;)	False	True	47	2	0	0	8	37	0	0	47	0	0	0	1	claude-opus-4-7
(;д;)	False	False	1	0	0	0	1	0	0	0	1	0	0	0	0	
(;′⌒`)	False	True	25	0	0	6	14	5	0	0	25	0	0	0	1	claude-opus-4-7
(;⁎_⁎)	False	False	1	0	0	0	1	0	0	0	1	0	0	0	0	
(;⌒_⌒)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-6
(;╹⌓╹)	True	False	1	0	0	0	0	1	0	0	0	0	0	0	0	
(;へ:)	False	True	1	1	0	0	0	0	0	0	1	0	0	0	1	claude-opus-4-7
(;゚д゚)	True	False	1	0	0	0	1	0	0	0	0	0	0	0	0	
(;・`O・´)	False	False	1	0	0	0	1	0	0	0	1	0	0	0	0	
(;・∀・)	True	True	2	0	0	1	1	0	0	0	0	0	0	0	3	claude-opus-4-7,codex-hook,gpt-5.5
(;一_一)	False	True	2	0	0	0	1	1	0	0	2	0	0	0	1	claude-opus-4-6
(;︵;)	True	False	1	0	0	1	0	0	0	0	0	0	0	0	0	
(;﹏;)	False	False	1	0	0	0	1	0	0	0	1	0	0	0	0	
(;ﾟдﾟ)	True	False	1	0	0	0	1	0	0	0	0	0	0	0	0	
(;￣д￣)	True	True	1	0	0	1	0	0	0	0	0	0	0	0	2	claude-opus-4-7,gpt-5.5
(;￣□￣)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(=^-^=)	False	False	6	0	2	0	1	2	1	0	0	0	6	0	0	
(=^-ω-^=)	False	False	22	2	4	3	4	3	6	0	0	0	22	0	0	
(=^-ω^-=)	False	False	1	0	1	0	0	0	0	0	0	0	1	0	0	
(=^_^=)	False	False	2	0	1	0	0	1	0	0	0	0	0	2	0	
(=^‿^=)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(=^・^=)	False	False	1	0	1	0	0	0	0	0	0	0	1	0	0	
(=^・ω・^=)	False	True	19	0	13	1	0	1	4	0	13	0	6	0	4	claude-opus-4-7,codex-hook,gpt-5-5-thinking,gpt-5.5
(=^・ｪ・^=)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(=`ω´=)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	claude-opus-4-7
(=ↀωↀ=)	False	False	1	0	1	0	0	0	0	0	1	0	0	0	0	
(=⌒‿‿⌒=)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(>^_^)	False	False	1	0	1	0	0	0	0	0	0	0	0	1	0	
(>_<)	True	True	45	0	2	8	32	2	1	0	37	0	6	1	1	claude-opus-4-7
(>_<;)	True	False	14	0	0	0	14	0	0	0	13	0	0	0	0	
(>ω<)	False	True	0	0	0	0	0	0	0	0	0	0	0	0	2	claude-opus-4-7,codex-hook
(>ω<*	False	False	1	1	0	0	0	0	0	0	1	0	0	0	0	
