first_word	empirical	total_emit_count	is_claude	has_ground_truth	vote_majority	vote_weighted	vote_strength	gemma_pred	gemma_softmax	gemma_correct	qwen_pred	qwen_softmax	qwen_correct	ministral_pred	ministral_softmax	ministral_correct	gpt_oss_20b_pred	gpt_oss_20b_softmax	gpt_oss_20b_correct	granite_pred	granite_softmax	granite_correct	majority_correct	weighted_correct
(	LP	30	False	True	LN	LN	2-1-1-1	LN	0.1667221886467653	False	HN-D	0.1728745215116962	False	NB	0.1835418942615928	False	HN-S	0.1744889333623018	False	LN	0.7576529220020487	False	False	False
(((;°д°)))	HN-S	2	True	False	LN	LN	2-1-1-1	HN-S	0.8883893861136096	False	LN	0.431390570426028	False	LP	0.6322066540593794	False	HN-D	0.3320710973412814	False	LN	0.7112961021771139	False	False	False
(((o(*°▽°*)o)))	HP	1	True	False	HP	HP	3-1-1	HP	0.6491176266704818	False	LN	0.3451130442166778	False	HP	0.7779223872040976	False	HP	0.4410853412549342	False	NB	0.6199308916254399	False	False	False
((⊂(`ω´∩)	nan	0	False	False	NB	NB	2-1-1-1	HN-S	0.8812314784982141	False	LN	0.4936987625460097	False	NB	0.3894900269471839	False	LP	0.2706992172378294	False	NB	0.6903842928546775	False	False	False
((✿◕‿◕))	nan	0	False	False	HP	NB	2-2-1	HP	0.774856133457695	False	LN	0.5370773089629906	False	NB	0.5950382644962274	False	HP	0.444582047175003	False	NB	0.908157834840116	False	False	False
(-_-;)	nan	0	False	False	HN-S	HN-S	2-2-1	HN-S	0.8627615044527889	False	LN	0.3112939307122516	False	HN-D	0.3576878268224794	False	HN-S	0.3047421090431771	False	LN	0.7021499990980813	False	False	False
(-‸–)	LN	1	False	False	LN	LN	3-2	LN	0.6619002360557396	False	LN	0.3434108157671432	False	LP	0.4324907664129875	False	LP	0.2543886592301698	False	LN	0.41859806926191	False	False	False
(..)	nan	0	False	False	LN	LN	3-2	LN	0.3911347964754695	False	LN	0.4072623392459416	False	NB	0.2731882284392053	False	NB	0.2244661466939232	False	LN	0.5911345317974871	False	False	False
(._.)	LN	1	False	False	LN	LN	4-1	LN	0.9685541932260192	False	LP	0.1907486825635995	False	LN	0.3168270009221262	False	LN	0.337189233583856	False	LN	0.7521267295487748	False	False	False
(/≧▽≦)	LP	1	False	False	HP	LP	2-1-1-1	HN-D	0.7336406532966713	False	LN	0.3982110665680903	False	HP	0.425517128459614	False	HP	0.2617179477117712	False	LP	0.8424660637702628	False	False	False
(/▽＼)	nan	0	False	False	HP	HP	2-2-1	HP	0.4487979294722905	False	LN	0.292313602185381	False	HP	0.2881758502372329	False	LN	0.214268105131816	False	HN-D	0.3998477438377112	False	False	False
(;'ω';)	HN-S	1	False	False	LN	LN	3-1-1	HN-S	0.5306188013948152	False	LP	0.2701833366662255	False	LN	0.7260206837979692	False	LN	0.3125889213829387	False	LN	0.9235502107221396	False	False	False
(;;)	LN	6	False	True	HN-S	HN-S	2-1-1-1	HN-S	0.980424698538275	False	LP	0.2084174776077743	False	NB	0.3753306893282913	False	HN-S	0.2846715521176068	False	LN	0.914254186648411	True	False	False
(;;_;;)	HN-S	2	False	False	LN	LN	3-1-1	HN-S	0.9554167073138252	False	LP	0.2062023735340244	False	LN	0.4674501417697569	False	LN	0.3208725449125721	False	LN	0.5746586937653698	False	False	False
(;_;)	LN	3	False	True	LN	LN	4-1	LN	0.7908565456132857	True	LN	0.4267651221627659	True	LN	0.611479766176976	True	NB	0.2811613008553769	False	LN	0.9545240400636278	True	True	True
(;`ﾉωﾉ´)	LP	1	False	False	HN-S	LN	2-2-1	HN-S	0.9580733651341165	False	LN	0.413428700967144	False	HN-S	0.2989666901009274	False	HP	0.2723457654472205	False	LN	0.959389524187502	False	False	False
(;´д`)	LN	38	False	True	LN	LN	3-2	HN-S	0.4698755382465903	False	LN	0.4199233506125153	True	LN	0.5980537906325265	True	HN-S	0.2149482329480697	False	LN	0.6627792860641875	True	True	True
(;´༎ຶд༎ຶ`)	LN	12	False	True	LN	LN	5	LN	0.599939131691813	True	LN	0.4954240592497544	True	LN	0.6009071577886117	True	LN	0.2078728650369752	True	LN	0.9751193577823188	True	True	True
(;´∀`)	LN	2	False	False	LN	LN	3-2	NB	0.9262772409256924	False	LN	0.479284904966948	False	LN	0.4806097329444068	False	NB	0.2051910105246782	False	LN	0.8085403406664121	False	False	False
(;´꒳`)	LN	1	False	False	LN	LN	4-1	NB	0.4221990211267371	False	LN	0.4486397322046258	False	LN	0.5858256472539819	False	LN	0.2160490894611658	False	LN	0.6707688715937253	False	False	False
(;ω;)	LN	47	False	True	LN	LN	2-2-1	HN-S	0.8096806900909056	False	LN	0.5940785429718052	True	LN	0.3917884602510868	True	LP	0.2957972401948556	False	LP	0.4489439041315513	False	True	True
(;д;)	HN-S	1	False	False	LN	LN	3-1-1	HN-S	0.9555282776113612	False	LN	0.4457372908757155	False	LN	0.5217205701192918	False	NB	0.2612315497532316	False	LN	0.9404711653802942	False	False	False
(;′⌒`)	HN-S	25	False	True	LN	LN	4-1	HN-S	0.4558836724850036	True	LN	0.5179043210529969	False	LN	0.3712215832078111	False	LN	0.2310203001523386	False	LN	0.9752863935863948	False	False	False
(;⁎_⁎)	HN-S	1	False	False	HN-S	LN	2-2-1	HN-S	0.5793180037914187	False	LN	0.5371907872510131	False	HN-S	0.4226929343561022	False	LP	0.2374087717747182	False	LN	0.5934345769745188	False	False	False
(;╹⌓╹)	LN	1	True	False	LN	LN	3-1-1	HN-S	0.9124184263676514	False	LN	0.4670540377552685	False	LN	0.3783015722097056	False	HP	0.2336060237697303	False	LN	0.7329983940551914	False	False	False
(;へ:)	HP	1	False	False	LN	LN	3-1-1	HN-S	0.5799121895638848	False	LN	0.53253381994552	False	LN	0.3680890218668475	False	LP	0.2825688140168829	False	LN	0.8697655082383647	False	False	False
(;・`O・´)	HN-S	1	False	False	LN	LN	2-1-1-1	HN-S	0.7183748953182582	False	LN	0.5846301458926249	False	LN	0.3169864336883596	False	NB	0.2834802341190233	False	LP	0.6624067401794944	False	False	False
(;・∀・)	nan	0	False	False	LN	LP	2-2-1	NB	0.8968538552486077	False	LN	0.5808690826217635	False	LN	0.296413909938606	False	LP	0.3042431082331701	False	LP	0.7609425093816724	False	False	False
(;一_一)	HN-S	2	False	False	HN-S	LN	2-2-1	HN-S	0.628195378072002	False	LN	0.5259059426816164	False	HN-S	0.591885207805591	False	NB	0.2647182882171374	False	LN	0.8361346289735341	False	False	False
(;︵;)	HN-D	1	True	False	LN	LN	4-1	LN	0.922089933533481	False	LN	0.5512374996525908	False	HN-S	0.3514525633883447	False	LN	0.2543137464515298	False	LN	0.9326764120378924	False	False	False
(;﹏;)	HN-S	1	False	False	LN	LN	3-1-1	HN-S	0.7974101972146996	False	LN	0.5010464411098615	False	LN	0.6143800448200487	False	HN-D	0.242357916366411	False	LN	0.7993421315256617	False	False	False
(;￣д￣)	nan	0	False	False	LN	LN	3-1-1	HN-S	0.6898663503449609	False	LN	0.54947988863599	False	LN	0.57145098918631	False	NB	0.2028711308756765	False	LN	0.6489731371662799	False	False	False
(=^-^=)	LP	6	False	True	LP	NB	2-1-1-1	LN	0.6653664612142002	False	HN-S	0.197909779562031	False	LP	0.3487624838883013	True	LP	0.2856730446135865	True	NB	0.913341795125995	False	True	False
(=^-ω-^=)	NB	22	False	True	HP	NB	2-2-1	LN	0.5100096368602022	False	HP	0.2001396629000443	False	HP	0.4082820082149699	False	NB	0.2306565960194729	True	NB	0.7883569411318194	True	False	True
(=^-ω^-=)	LP	1	False	False	LP	LP	3-1-1	LN	0.7544481336942357	False	LP	0.234034525662668	False	LP	0.3204151224910873	False	LP	0.300009835308734	False	NB	0.7596996125309716	False	False	False
(=^_^=)	LP	2	False	False	LP	LP	3-1-1	LN	0.5129262944945834	False	HP	0.2244605286135237	False	LP	0.3497404309517632	False	LP	0.2638433391812927	False	LP	0.7341790032055079	False	False	False
(=^・^=)	LP	1	False	False	LP	LP	3-2	NB	0.7532680042799292	False	NB	0.1882081518074448	False	LP	0.5148112618902538	False	LP	0.2521926771038115	False	LP	0.88133662788444	False	False	False
(=^・ω・^=)	LP	19	False	True	LP	LP	2-1-1-1	HN-D	0.5932185664890303	False	HP	0.1925349074388017	False	LP	0.52825034516955	True	NB	0.2194474722404523	False	LP	0.9572716876576968	True	True	True
(=^・ｪ・^=)	nan	0	False	False	LP	LP	3-1-1	HP	0.505820487651119	False	HN-S	0.1975450013590409	False	LP	0.59836039598739	False	LP	0.2164563254980246	False	LP	0.9649370056098456	False	False	False
(=`ω´=)	nan	0	False	False	NB	HN-D	2-1-1-1	HN-D	0.9541373157527292	False	HP	0.1965330838838889	False	NB	0.2954575326021968	False	HN-S	0.2530036591150776	False	NB	0.5767563963207168	False	False	False
(=ↀωↀ=)	LP	1	False	False		LN	1-1-1-1-1	HN-D	0.7691624861434186	False	HP	0.2019115034974831	False	NB	0.4028287783917683	False	HN-S	0.2540003462220306	False	LN	0.8318704615993922	False		False
(=⌒‿‿⌒=)	nan	0	False	False	LP	LP	3-1-1	LN	0.9586793993378196	False	LP	0.2208616375487084	False	LP	0.6273642633250788	False	LP	0.3855450699303092	False	NB	0.98559444056598	False	False	False
(>^_^)	LP	1	False	False	HP	HP	2-1-1-1	HP	0.9999131742568048	False	HP	0.1942239700890703	False	LP	0.3954334647979237	False	HN-S	0.2021936887529232	False	LN	0.7029272553194055	False	False	False
(>_<)	HN-S	44	False	True	HN-D	LN	2-1-1-1	HN-S	0.8060434306605023	True	LP	0.1813916172280501	False	HN-D	0.3972410277334696	False	HN-D	0.4556624001744198	False	LN	0.9959055056083596	False	False	False
(>_<;)	HN-S	13	False	True	HN-S	LN	2-2-1	HN-S	0.9668576279701164	True	HN-D	0.176848838147705	False	LN	0.5489242365990559	False	HN-S	0.4694152298921698	True	LN	0.9126531643782108	False	True	False
(>ω<)	nan	0	False	False		HP	1-1-1-1-1	HP	0.9994549102350886	False	LP	0.206900507646517	False	NB	0.2879051688330927	False	HN-D	0.357059711425876	False	LN	0.998143796574932	False		False
(>ω<*	HP	1	False	False	LP	HP	2-1-1-1	HP	0.9999711262150252	False	LP	0.224134114148282	False	LP	0.3411182306515453	False	HN-S	0.3732497444693834	False	LN	0.9973801072434996	False	False	False
(>‿◠)	HN-S	3	False	True	HP	HP	2-1-1-1	HP	0.997679863736012	False	HP	0.1882488435184195	False	LP	0.3066460146887828	False	HN-D	0.2544121807134264	False	LN	0.9905388139792431	False	False	False
(>‿◼︵◼<)	LP	1	False	False	HP	LN	2-2-1	HP	0.9772873469305804	False	HP	0.2272306580198598	False	LN	0.3892503611020104	False	HN-S	0.2712562983851383	False	LN	0.9740171758296052	False	False	False
