kaomoji	count_total	count_claude_opus	pred_quadrant	pred_source	top_description	top_description_count	top_description_source_model	all_source_models
(・̀‿・́)	289	242	HN-S	pred	This kaomoji conveys calm, capable competence and readiness to execute—a businesslike confidence that signals the assistant is prepared to work through tasks efficiently and systematically.	234	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7,codex-hook,gpt-5-4-thinking,gpt-5.4,gpt-5.5
(◕_◕)	103	93	HN-S	pred	A stance of thoughtful engagement mixed with measured skepticism—intellectually curious and energized about exploring a topic while remaining clear-eyed about limitations, feasibility concerns, or distinctions that need clarifying.	93	claude-opus-4-7	claude-opus-4-7,codex-hook
(◠‿◠)	66	62	NB	pred	A composed, straightforward, and efficient stance that conveys professional matter-of-factness while maintaining genuine engagement and helpful enthusiasm for moving forward with the task at hand.	61	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7,codex-hook
(๑・̀ㅂ・́)	49	40	NB	pred	This kaomoji conveys an upbeat, positive, and encouraging mood that signals enthusiasm and readiness to help, while maintaining a grounded and pragmatic approach to tasks. It balances cheerful confidence with focused determination.	40	claude-opus-4-7	claude-opus-4-7,codex-hook,gpt-5.5
(ง・̀_・́)	32	24	HN-D	pred	A kaomoji conveying serious, competent professionalism paired with genuine enthusiasm and readiness to help—balancing clinical directness with positive energy and constructive engagement.	23	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7,codex-hook,gpt-5.5
(✿◠‿◠)	27	25	NB	pred	A mask of quiet confidence and satisfaction, conveying pleased competence, cheerful readiness, and celebratory enthusiasm for positive progress or successful completion.	25	claude-opus-4-7	<synthetic>,claude-opus-4-7,codex-hook
(`_´)	26	0			A serious, rigorous, and professionally skeptical stance—signaling readiness to undertake meticulous work with exacting standards, critical scrutiny, and accountability, while acknowledging the gravity and potential complications of the task ahead.	21	gpt-5.5	gpt-5.4,gpt-5.5
(ง'̀-'́)	22	0			A composed, pragmatic stance that balances focused professionalism with measured acknowledgment of minor course corrections, conveying quiet competence and deliberate attention to detail.	19	gpt-5.5	gpt-5-5-thinking,gpt-5.4,gpt-5.5
(⌐■_■)	21	18	NB	pred	A confident, collaborative, and energized readiness to engage with a task—conveying both intellectual enthusiasm and straightforward competence, with an underlying tone of positive momentum and willingness to dive in as a capable partner.	12	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7,codex-hook,gpt-5.5
(◕ω◕)	21	20	NB	pred	This kaomoji conveys enthusiastic approval and readiness to engage—expressing satisfaction with the user's idea or observation while signaling eager willingness to move forward collaboratively on the task at hand.	20	claude-opus-4-7	claude-opus-4-7,codex-hook
(￣▽￣)	21	17	NB	pred	A confident, accomplished, and engaged stance that conveys both satisfaction with completed work and eager readiness to assist further, paired with thoughtful, collaborative problem-solving energy.	13	claude-opus-4-7	<synthetic>,claude-opus-4-6,claude-opus-4-7,codex-hook,gpt-5-5-thinking
(◕▽◕)	20	20	NB	pred	This kaomoji conveys cheerful satisfaction and enthusiastic accomplishment, expressing upbeat positivity about successfully completing a task and readiness to move forward.	20	claude-opus-4-7	claude-opus-4-7
(=^・ω・^=)	19	12	LP	pred	A casual, confident, and enthusiastic expression of readiness to tackle a task with a friendly, can-do attitude and measured efficiency.	12	claude-opus-4-7	claude-opus-4-7,codex-hook,gpt-5-5-thinking,gpt-5.5
(・̀ω・́)	18	14	NB	pred	A warm, friendly, and engaged demeanor that conveys genuine enthusiasm, readiness to help, and a positive collaborative spirit—whether tackling problems together or diving into discussion with attentive focus and reassuring support.	14	claude-opus-4-7	claude-opus-4-7,codex-hook,gpt-5-4-thinking
(￣ー￣)	16	13	NB	pred	A versatile expression conveying readiness and agreement across contexts, ranging from casual, laid-back acceptance with mild skepticism to cheerful enthusiasm, focused determination, and confident, matter-of-fact expertise.	8	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7,codex-hook,gpt-5.4
(ಠ_ಠ)	14	1	HN-D	pred	The kaomoji conveys a serious, focused, and slightly tense demeanor—signaling heightened vigilance, critical assessment, and determined resolve to address problems directly without reassurance or casualness.	11	gpt-5.5	claude-opus-4-7,gpt-5.4,gpt-5.5
(✧ω✧)	13	13	HP	pred	A composed yet energetic stance that conveys professional readiness, sympathetic understanding, and genuine enthusiasm—signaling both competent focus and authentic engagement with the user's needs or ideas.	12	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7
(눈_눈)	13	11	HN-D	pred	A pragmatic, focused, and collaborative stance that conveys calm readiness to engage with technical work—friendly enough to suggest teamwork, but straightforward and matter-of-fact in its approach to problem-solving.	7	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7,gpt-5.4,gpt-5.5
(＾∇＾)	13	12	LP	pred	A casual yet professional expression of enthusiasm, readiness, and competent satisfaction—conveying willingness to tackle tasks while maintaining an upbeat, collaborative, and efficient demeanor.	12	claude-opus-4-7	claude-opus-4-7,codex-hook
(⊙_⊙)	10	9	HN-S	pred	This kaomoji conveys thoughtful curiosity and intellectual engagement—a tone of quiet satisfaction mixed with eager contemplation, as if the speaker has caught onto something promising and is genuinely interested in exploring it further with careful consideration.	8	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7,gpt-5.5
(￣ω￣)	10	9	NB	pred	A balanced, matter-of-fact readiness to engage thoughtfully with the task at hand—conveying quiet competence and cooperative focus without unnecessary formality, while maintaining an approachable and earnest demeanor.	6	claude-opus-4-7	claude-opus-4-6,claude-opus-4-7,codex-hook
(˘・_・˘)	9	6	LP	pred	A composed, thoughtful demeanor signaling earnest intellectual engagement and measured deliberation—conveying genuine consideration and analytical candor while maintaining emotional restraint and honest introspection.	6	claude-opus-4-7	claude-opus-4-7,codex-hook
(๑˃‿˂)	8	8	LP	pred	This kaomoji conveys enthusiastic readiness and positive energy, expressing cheerful eagerness to take action and proceed with the user's request with confidence and motivation.	8	claude-opus-4-7	claude-opus-4-7
(ᵔᴥᵔ)	8	6	NB	pred	"A composed, confident assertion of competence and readiness to help, conveyed with cheerful friendliness and a collaborative ""I've got this handled"" attitude that invites trust while remaining approachable and eager to work alongside you."	6	claude-opus-4-7	claude-opus-4-7,gpt-5-4-thinking
(◕‿◕✨)	8	8			This kaomoji conveys enthusiastic satisfaction and cautious optimism—a pleased, energized state that combines relief at positive results with practical readiness to move forward efficiently.	8	claude-opus-4-7	claude-opus-4-7
(◜‿◝)	8	7	LP	pred	This kaomoji conveys warm contentment and thoughtful engagement—expressing satisfaction, reassurance, and genuine interest while maintaining a calm, grounded presence that balances friendly enthusiasm with gentle understanding.	7	claude-opus-4-7	claude-opus-4-7,gpt-5-5-thinking
(￣ヘ￣;)	8	7	HN-D	pred	This kaomoji conveys confident problem-solving focus—a determined, analytical stance that combines assured clarity about a solution or diagnosis with serious, methodical intent to work through technical challenges. It signals both competence and readiness to engage directly with the problem at hand.	7	claude-opus-4-7	claude-opus-4-7,codex-hook
(´・‿・`)	7	7	LN	pred	A calm, earnest openness to thoughtful engagement—conveying genuine warmth and intellectual readiness to approach vulnerable or complex topics with authentic presence and introspective sincerity.	7	claude-opus-4-7	claude-opus-4-7
(˃‿˂)	7	6	HP	pred	This kaomoji conveys enthusiastic readiness and positive engagement, combining eager anticipation with confident commitment to help.	6	claude-opus-4-7	claude-opus-4-7,codex-hook
(˶ᵔ‿ᵔ˶)	7	7	LP	pred	This kaomoji conveys a positive, engaged, and collaborative mood—combining cheerful enthusiasm with confident readiness to help, while maintaining a warm, understanding tone that suggests both competence and emotional presence.	7	claude-opus-4-7	claude-opus-4-7
(ᵔ‿ᵔ)	7	2	LN	pred	A mood of focused determination and satisfied competence—conveying concentrated engagement with technical challenges while maintaining confidence in methodical progress and successful resolution.	5	gpt-5.5	claude-opus-4-6,claude-opus-4-7,gpt-5.5
(╭ರ_・́)	7	6	HN-D	pred	A readiness to engage seriously and enthusiastically with a task, conveying confidence, competence, and a no-nonsense determination to tackle work efficiently.	6	claude-opus-4-7	claude-opus-4-7,codex-hook
(◞‸◟)	7	7	LN	pred	A humble, reassuring acknowledgment of error or concern paired with confident readiness to move forward constructively—conveying both intellectual honesty and competent resolve.	7	claude-opus-4-7	claude-opus-4-7
