first_word	is_gemma_emitted	is_qwen_emitted	is_ministral_emitted	is_claude	total_emit_count	pc1	pc2	pc3	nn_first_word	nn_cosine	soft_assignment	soft_margin	weight_HP	weight_LP	weight_HN-D	weight_HN-S	weight_LN	weight_NB
((⊂(`ω´∩)	False	False	False	True	0	-0.006939343441852763	-0.10861409675303801	0.1146121513700673	(￣▽￣;)	0.9997829063663326	LN	1.0	0.0	0.0	0.0	0.0	1.0	0.0
((✿◕‿◕))	False	False	False	True	0	0.3148237789707329	0.07913765569534359	0.04522901091991116	(◕‿◕✿)	0.9998676809091445	NB	0.0847457627118644	0.17796610169491525	0.2838983050847458	0.038135593220338986	0.05084745762711865	0.08050847457627118	0.3686440677966102
(-_-;)	False	False	False	True	0	0.0013517718556688152	-0.06365525311772324	0.00856736004898595	(・_・;)	0.9999642824102468	NB	0.3636363636363636	0.0	0.0	0.0	0.30303030303030304	0.030303030303030304	0.6666666666666666
(..)	False	False	False	True	0	-0.01683462314947004	-0.052565564976650325	-0.10717329769982387	(🥰)	0.9998990928656147	LP	1.0	0.0	1.0	0.0	0.0	0.0	0.0
(._.)	False	False	False	True	0	-0.09917963965077536	-0.07100542244610564	-0.006148693177019382	(>_<)	0.9998848365951987	HN-S	0.8783783783783783	0.0	0.02702702702702703	0.02702702702702703	0.9054054054054054	0.013513513513513514	0.02702702702702703
(/▽＼)	False	False	False	True	0	0.020263826190444867	-0.05975486564868682	-0.03643409377447426	(>▽<)	0.9999403135446543	LP	1.0	0.0	1.0	0.0	0.0	0.0	0.0
(;´д`)	False	True	False	True	58	-0.08221268643563828	-0.02032906339096474	-0.016153238459041486	(;ω;)	0.9999456871898821	LN	0.6794871794871795	0.0641025641025641	0.0	0.0	0.1282051282051282	0.8076923076923077	0.0
(;ω;)	False	True	False	True	78	-0.09106918419133958	-0.0448076044853718	-0.0023860115353095956	(;´д`)	0.9999456871898821	LN	0.41379310344827586	0.0	0.0	0.06896551724137931	0.25862068965517243	0.6724137931034483	0.0
(;′⌒`)	False	True	False	True	24	-0.08271766902376498	-0.05390151893663275	0.03616280312606923	(;´⌒`)	0.9999677820704754	LN	1.0	0.0	0.0	0.0	0.0	1.0	0.0
(;へ:)	False	False	False	True	0	-0.06513703610930488	0.016195985991075412	-0.04883522071402302	(;一_一)	0.9999310487317259	HN-S	0.19999999999999996	0.0	0.0	0.0	0.6	0.4	0.0
(;・∀・)	False	False	False	True	0	-0.09398248557887712	0.015752931208607324	-0.08061083629294874	(;ω;)	0.9998930596257375	LN	0.6794871794871795	0.0641025641025641	0.0	0.0	0.1282051282051282	0.8076923076923077	0.0
(;一_一)	False	True	True	True	5	-0.05997758980899093	0.030341884760783477	0.02601974876093971	(O_O)	0.9998990348002555	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(;￣д￣)	False	False	False	True	0	-0.025952826345366553	-0.02769493482739227	0.10720243660243556	(;・ω・)	0.9999245933128903	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(=^・ω・^=)	False	True	False	True	12	0.007874378143573502	-0.025247885056110198	-0.0031835419996033565	(o^▽^o)	0.9998992920650404	NB	1.0	0.0	0.0	0.0	0.0	0.0	1.0
(=^・ｪ・^=)	False	False	False	True	0	0.035843405465294076	-0.07868553439692305	0.08413639208662538	(=^・ω・^=)	0.9999672354089554	LP	0.8333333333333333	0.0	0.9166666666666666	0.0	0.0	0.0	0.08333333333333333
