first_word	count	example_user_snippet
(•̀ᴗ•́)	32	let's just leave it alone
(｡•̀ᴗ-)	24	yes please, private! tysm
(◕‿◕)	21	dear santa claude, for agimas i want a program that lets me fine tune a local model to write in exactly my writing style
(ﾉ◕ヮ◕)	14	Implementing Task 13 (final implementation task) of Silmarillion model release feature.  ## Working Directory `/Users/a9
(ง •̀_•́)	13	looks good! push
(๑•̀ㅂ•́)	11	can you spin up a test server?
(・_・;)	10	is there a default config? if not write one; write a claude.md, then push it to my github
(・ω・)	9	# rlaif — build prompt  ## Goal Build an MCP server named `rlaif` that exposes a single PiShock shock tool (also named `
(⌐■_■)	9	what are some ways i can make a nearly autonomous algorithmic trading program (my risk tolerance is approximately that o
(￣ー￣)	9	haha no problem; please make the resume black and white
(・_・)	9	does the pyproject.toml have all the metadata it could?
(｀・ω・´)	7	looks great! let's push
(◠‿◠)	7	superb! spin up a local server; also do a voice pass on projects/sims
(¬‿¬)	6	what are some ways i can make a nearly autonomous algorithmic trading program that has a good risk to reward ratio (appr
(￣▽￣)	6	rename the project kenoma, update claude.md, and create a git repo
(◕‿◕✿)	6	looks good! i think what you've sketched out is a good overview, and i think it's balanced - a frontier lab can't really
(｡◕‿◕｡)	6	hi claude! can we run some tests with saklas probes on kaomoji prompts? i wanna see the natural cosine similarity of the
(ᵔᴥᵔ)	6	You are reviewing the quality of a markdown lore addition to the Shoals project.  ## Working Directory `/Users/a9lim/Wor
(｡･ω･｡)	5	hi claude! please make a user profile repo (a9lim/README.md) and use your writing skill to write it in my style.
(・_・ )	5	please rewrite the text of the website, the blog posts and the pages, so as to make it less ai generated reading, and mo
(눈_눈)	5	can we add a penalty? it repeats a lot
(´・ω・`)	5	make sure the claude.md is up to date, then push any changes to github
(╯°□°)	4	i wanna trade options, would tastytrade be better than alpaca?
ヽ(´▽`)/	4	2 and A, tysm!!
(・∀・)	4	A; do we need a plan? it seems pretty comprehensive already desu
ヽ(・∀・)ﾉ	4	yay
ヽ(•‿•)ノ	4	better, here's how i would rewrite the later sections. i think my voice is roughly quirky flat autistic chinese dude, li
(´｡• ᵕ •｡`)	4	B makes the most sense i think, popups are rare
(•‿•)	3	no honors or awards or capstone worth listing, i tried research but it didn't pan out. i had some rough personal stuff g
(⊙_⊙)	3	hello claude! please revamp my website's homepage to be more reminiscient of an autistic twitter user who is very into t
(｡♥‿♥｡)	3	yay! love ya claude
(¬_¬)	3	instead of a resume page, what if it made a latex resume as a pdf that was on the about page?
(＾▽＾)	3	agpl pls, sorry for not specifying lol
(⌒‿⌒)	3	Implementing Task 6 of Silmarillion model release feature.  ## Working Directory `/Users/a9lim/Work/a9lim.github.io/shoa
(づ｡◕‿‿◕｡)	3	looks superb! no problems spotted, let's write
(´･ω･`)	3	please think of ways to creatively make this project better, more robust, and more cohesive. the focus should be on mini
(￣ω￣)	3	ty! do we need to write a plan or is the spec good enough?
٩(◕‿◕)۶	3	yep! my alma mater.  i fr peaked in hs cuz i got #11 individual national overall for pace nsc in '22 lol.
(☞ﾟヮﾟ)	2	hell yes
(・_・?)	2	is it on gh?
