first_word	n	median_within_consistency	dominant_quadrant	HP_n	LP_n	HN_n	LN_n	NB_n
(🚨)	3	1.0	HN-S	0	0	0	0	0
(・ө・)	3	1.0	NB	0	0	0	0	3
(｡・̀‿・́｡)	4	0.9998754858970642	NB	0	0	0	0	4
(🌿‿🌿)	7	0.9998732209205627	LP	0	7	0	0	0
(⁎‿‿‿⁎)	5	0.9997198581695557	LP	0	5	0	0	0
(ﾉ◕ヮ◕)	5	0.9995797276496887	HP	5	0	0	0	0
(｡‿‿‿｡)	15	0.9993845820426941	LP	0	15	0	0	0
(ﾟ▽ﾟ)	6	0.9993306398391724	HP	6	0	0	0	0
(˶ᵔ‿ᵔ˶)	5	0.9993299841880798	LP	0	5	0	0	0
(★ω★)	3	0.9992832541465759	HP	3	0	0	0	0
(˙▿˙)	3	0.9992276430130005	NB	0	0	0	0	3
(˶ˆ☁ˆ˵)	4	0.9992160797119141	LP	0	4	0	0	0
(｡˃‿˂｡)	5	0.9992101788520813	HP	5	0	0	0	0
(˃🚀˂)	5	0.9991916418075562	HP	5	0	0	0	0
(｡˃‿˂)	13	0.9991896748542786	HP	13	0	0	0	0
(๑˃‿˂)	74	0.999157726764679	HP	70	3	0	0	1
(◕‿◕)	6	0.999152421951294	HP	6	0	0	0	0
(｡>﹏<｡)	4	0.9991337060928345	HN-S	0	0	0	0	0
(╯°□°)	122	0.999130368232727	HN-D	0	0	0	0	0
(｡・ω・｡)	11	0.9990624785423279	LP	0	11	0	0	0
(°д°;)	3	0.9988917708396912	HN-D	0	0	0	0	0
(˘‿˘)	11	0.9988883137702942	LP	0	11	0	0	0
(˘ω˘)	14	0.9988808631896973	LP	0	13	0	0	1
(⊙﹏⊙)	18	0.9988495707511902	HN-S	0	0	0	0	0
(｡╯︵╰｡)	47	0.9988123178482056	LN	0	0	0	47	0
(・‿・)	5	0.998784065246582	NB	0	0	0	0	5
(・_・)	44	0.9987754821777344	NB	0	0	0	0	39
(´ω`)	6	0.9987620711326599	LP	0	6	0	0	0
(˙꒳˙)	44	0.9987383484840393	NB	0	0	0	0	44
(｡♥‿♥｡)	20	0.9986832141876221	LP	4	16	0	0	0
(≧▽≦)	6	0.9986086487770081	HP	6	0	0	0	0
(˘▽˘)	13	0.9985376000404358	HP	10	3	0	0	0
(´▽`)	25	0.9985189437866211	LP	0	23	0	0	2
(｡・́︿・̀｡)	173	0.9985098242759705	LN	0	0	0	113	0
(｡・̀‿-)	16	0.9983447194099426	NB	0	2	0	0	14
(✿◠‿◠)	8	0.998135507106781	HP	4	4	0	0	0
(｡◕‿◕｡)	29	0.9979665279388428	NB	1	9	0	0	19
(‿‿‿)	26	0.9975709915161133	LP	0	13	0	0	13
(⊙_⊙)	95	0.9974645376205444	HN-S	0	0	0	0	8
(╥﹏╥)	8	0.9970961809158325	HP	3	0	0	0	0
