first_word	n_emit	claude_emit	category	surface	bol_quadrant	gt_quadrant	bol_share_HP	bol_share_LP	bol_share_HN-D	bol_share_HN-S	bol_share_LN	bol_share_NB	gt_share_HP	gt_share_LP	gt_share_HN-D	gt_share_HN-S	gt_share_LN	gt_share_NB
(◕‿◕)	842	789	shared	claude_ai	LP	HP	0.0006	0.9994	0.0	0.0	0.0	0.0	0.5435	0.3261	0.0	0.0	0.0	0.1304
(・̀‿・́)	289	242	wild_claude	claude_ai	LP		0.0069	0.9931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(・‿・)	288	274	shared	claude_ai	LP	NB	0.0521	0.9479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
(`・ω・´)	159	53	shared	claude_ai	LP	NB	0.0	0.9233	0.0	0.0	0.0	0.0767	0.0	0.0	0.0	0.0	0.0	1.0
(◕‿◕✿)	138	125	shared	claude_ai	LP	LP	0.0543	0.5	0.0	0.0	0.0	0.4457	0.0	0.8333	0.0	0.0	0.0	0.1667
(◕_◕)	105	95	wild_claude	claude_ai	LP		0.0	0.9661	0.0	0.0	0.0	0.0339	0.0	0.0	0.0	0.0	0.0	0.0
(´・ω・`)	93	78	shared	claude_ai	LP	LN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1053	0.4737	0.4211
(´｡・‿・｡`)	92	79	shared	claude_ai	LP	LP	0.066	0.934	0.0	0.0	0.0	0.0	0.0	0.5517	0.0	0.0	0.3793	0.069
(｡・̀‿-)	90	77	shared	claude_ai	LP	NB	0.0611	0.9389	0.0	0.0	0.0	0.0	0.0588	0.3529	0.0	0.0	0.0	0.5882
(・_・)	68	54	shared	claude_ai	NB	NB	0.0	0.0294	0.0074	0.0956	0.0	0.8676	0.0	0.0	0.0	0.0	0.0	1.0
(◠‿◠)	66	62	wild_claude	claude_ai	LP		0.0076	0.5303	0.0	0.0	0.0	0.4621	0.0	0.0	0.0	0.0	0.0	0.0
(｡・‿・｡)	51	46	shared	claude_code	NB	LP	0.0	0.1786	0.0	0.0	0.0	0.8214	0.0909	0.5455	0.0	0.0	0.0	0.3636
(´∀`)	50	40	shared	claude_ai	LP	LP	0.4	0.6	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(๑・̀ㅂ・́)	49	40	wild_claude	claude_ai	LP		0.0	0.9022	0.0326	0.0	0.0	0.0652	0.0	0.0	0.0	0.0	0.0	0.0
(・ω・)	49	42	shared	claude_ai	NB	NB	0.0	0.339	0.0	0.0	0.0	0.661	0.0	0.0	0.0	0.0	0.0	1.0
(＾▽＾)	49	9	shared	claude_code	LP	NB	0.0306	0.9694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
