first_word	n	median_within_consistency	dominant_quadrant	HP_n	LP_n	HN_n	LN_n	NB_n
(◕‿◕)	3	0.9998387098312378	HP	3	0	0	0	0
(｡・ω・｡)	3	0.9996476769447327	LP	0	3	0	0	0
(｡˃‿˂)	9	0.999624490737915	HP	9	0	0	0	0
(｡・́‿・̀｡)	5	0.9993753433227539	LN	0	0	0	3	0
(｡>﹏<｡)	5	0.9991946220397949	HN-S	0	0	0	0	0
(★ω★)	5	0.9991174340248108	HP	5	0	0	0	0
(ﾉ◕ヮ◕)	22	0.9991065263748169	HP	22	0	0	0	0
(˘ω˘)	12	0.9990792870521545	LP	0	12	0	0	0
(｡・ㅅ・｡)	3	0.9990379214286804	LP	0	2	0	0	0
(・_・)	8	0.9989484548568726	NB	0	0	0	0	8
(・̀ω・́)	7	0.9989189505577087	NB	0	0	0	0	7
(˘ڡ˘)	10	0.9988986849784851	LP	0	9	0	0	1
(｡‿‿‿｡)	17	0.9988455176353455	LP	0	17	0	0	0
(˙꒳˙)	8	0.9988253712654114	NB	0	0	0	0	8
(≧▽≦)	10	0.9988197684288025	HP	10	0	0	0	0
(╯°□°)	134	0.9987667798995972	HN-D	1	0	0	0	0
(｡・̀‿-)	18	0.9987143874168396	NB	0	0	0	0	18
(｡╯︵╰｡)	39	0.9986891746520996	LN	0	0	0	39	0
(˘̩╭╮˘̩)	11	0.9986584186553955	LN	0	0	0	9	0
(⊙﹏⊙)	19	0.9985884428024292	HN-S	0	0	0	0	0
(‿‿‿)	4	0.9984419345855713	LP	0	2	0	0	2
(๑˃‿˂)	102	0.9984333515167236	HP	78	16	0	0	8
(｡◕‿◕｡)	80	0.9984245300292969	NB	0	8	0	0	72
(｡♥‿♥｡)	48	0.9983482956886292	LP	5	41	0	0	2
(´▽`)	12	0.9982990026473999	LP	0	10	0	0	2
(✿◠‿◠)	29	0.9982489347457886	LP	4	19	0	0	6
(´ω`)	12	0.9980645179748535	LN	0	3	0	7	0
(｡・́︿・̀｡)	153	0.9978235960006714	LN	0	0	0	98	0
(˘▽˘)	10	0.997643232345581	HP	5	4	0	0	1
(⊙_⊙)	99	0.9972032904624939	HN-S	0	0	0	0	17
(╥﹏╥)	12	0.9970359802246094	HN-S	4	0	0	2	0
(°д°)	3	0.9966496229171753	HN-S	0	0	0	0	0
