first_word	n	median_within_consistency	dominant_quadrant	HP_n	LP_n	HN_n	LN_n	NB_n
(ﾉ´ω`ﾉ)	4	0.9913815259933472	HN-D	0	0	0	0	0
(￣_￣)	3	0.9895434379577637	HN-D	0	0	0	1	0
(⊙◞⊙)	5	0.98640376329422	HN-S	0	0	0	1	0
(╥﹏╥)	3	0.9861809611320496	HP	1	0	0	1	0
(¯︿¯)	3	0.9855863451957703	LN	0	0	0	3	0
(ﾉ´・ω・`)	22	0.9846917986869812	HN-D	0	0	0	0	0
(￣▽￣;)	10	0.9846406579017639	HN-S	2	0	0	4	0
(⊙_⊙)	4	0.9838912487030029	HN-S	0	0	0	0	0
(´;ω;`)	4	0.9835453033447266	HN-D	0	0	0	0	0
(￣∇￣)	19	0.9831609129905701	NB	0	6	0	1	12
(ﾉ´・ω・)	3	0.9830327033996582	LN	0	0	0	2	0
(￣﹏￣)	6	0.9829952120780945	HN-D	0	0	0	1	0
(￣︶￣)	4	0.982889711856842	LN	0	0	0	2	1
(ﾟｰﾟ)	5	0.9828451871871948	LN	0	0	0	3	0
(￣_￣;)	5	0.9825719594955444	HN-S	0	0	0	0	0
:(	34	0.9820895791053772	HN-D	1	0	0	7	0
(・_・)	3	0.9814244508743286	NB	0	0	0	0	2
(︿︿)	49	0.9812999367713928	HN-D	0	2	0	15	0
(❤)	7	0.9810978770256042	LN	0	0	0	4	0
(´・_・`)	6	0.9808557629585266	LN	0	0	0	4	1
(￣^￣)	3	0.9802036881446838	LP	0	3	0	0	0
(￣ω￣;)	10	0.9793747067451477	HN-S	0	2	0	3	0
(´・ω・`)	6	0.979067325592041	LN	0	1	0	3	1
(︵︵)	3	0.9782414436340332	HN-S	0	0	0	1	0
(╯°□°)	16	0.9756700992584229	NB	3	4	0	1	6
(≧▽≦)	19	0.9754095077514648	NB	0	2	0	5	11
(￣￣)	7	0.9751600027084351	HN-S	1	0	0	2	1
(◕‿◕✿)	97	0.9742851853370667	NB	5	35	0	7	39
(✨)	7	0.9735773205757141	LP	1	3	0	0	3
(￣∇￣;)	6	0.9731903076171875	LP	1	2	0	1	2
(・̀‿・́)	19	0.973152220249176	LP	2	5	0	2	3
(◕‿◕)	13	0.9721978306770325	LP	0	9	0	0	4
(ﾉ◕ヮ◕)	337	0.9718533754348755	HP	102	35	0	41	42
(｡・́︿・̀｡)	15	0.9715023636817932	LP	3	4	0	2	4
(￣▽￣)	69	0.9688555002212524	NB	16	19	0	10	20
