first_word	n	median_within_consistency	dominant_quadrant	HP_n	LP_n	HN_n	LN_n	NB_n
(^▽^)	3	0.9972900748252869	NB	0	0	0	0	3
(`⌒´)	7	0.9963995218276978	HP	7	0	0	0	0
(o^_^o)	6	0.995759129524231	NB	0	1	0	0	5
(T-T)	8	0.993595540523529	LN	0	0	0	7	0
ಠ_ಠ	3	0.9912936091423035	HN-D	0	0	0	0	1
♥‿♥	7	0.9905263185501099	HP	7	0	0	0	0
(ˆ‿ˆԅ)	3	0.9881598353385925	HP	3	0	0	0	0
(ﾟ∇ﾟ)	4	0.9877587556838989	HP	4	0	0	0	0
♥♥♥	6	0.9868069291114807	HP	6	0	0	0	0
(ಥ﹏ಥ)	23	0.9864404201507568	LN	0	1	0	20	1
(ﾟ﹏ﾟ)	3	0.9853067398071289	LN	0	0	0	3	0
(`⌒´メ)	5	0.9850915670394897	HP	5	0	0	0	0
(>﹏<)	7	0.9846073985099792	LN	0	0	0	7	0
(o^^o)	11	0.9843460321426392	NB	0	3	0	0	8
(⌐■_■)	6	0.983694314956665	NB	0	0	0	0	6
(o_o)	24	0.9817478060722351	NB	0	0	0	4	20
:(	4	0.9816726446151733	HN-S	0	0	0	2	0
(╥﹏╥)	5	0.9797906279563904	LN	0	0	0	4	0
ಥ_ಥ	215	0.9795211553573608	HN-D	3	8	0	19	10
(◕‿◕)	5	0.979240894317627	HP	4	1	0	0	0
ಥ﹏ಥ	131	0.9787046313285828	HN-S	1	1	0	17	3
(^_^)	25	0.9779266119003296	NB	4	4	0	0	17
(´・ω・`)	11	0.9778687953948975	LN	0	0	0	8	0
(｡・́︿・̀｡)	3	0.9776613116264343	LN	0	0	0	3	0
(⌒▽⌒)	21	0.9774594306945801	NB	0	7	0	2	12
(｡-∀-)	3	0.9769224524497986	LN	0	0	0	2	0
(๑・́₃・̀๑)	3	0.9766004085540771	LN	0	1	0	2	0
(⌯˃᷄	5	0.9755594730377197	LN	0	1	0	3	0
(°◇°)	7	0.9741388559341431	NB	0	3	0	0	4
(^o^)	5	0.974031388759613	HP	3	1	0	0	1
(^‿^)	10	0.9732805490493774	LP	0	8	0	0	2
(^-^)	18	0.9718924760818481	LP	0	13	0	2	3
(°ー°〃)	4	0.969597339630127	LN	0	1	0	2	1
(ｏ・ω・)	3	0.9658460021018982	HP	1	1	0	0	1
(๑・̀ㅁ・́๑)	17	0.9656102061271667	LP	0	12	0	3	2
