first_word	gemma_pred	gemma_softmax	qwen_pred	qwen_softmax	empirical	total_emit_count	is_claude	has_ground_truth	agree	gemma_matches_empirical	qwen_matches_empirical
(	LN	0.1667221886467653	HN-D	0.1728745215116962	LP	30	False	True	False	False	False
(((;°д°)))	HN-S	0.8883893861136096	LN	0.431390570426028	HN-S	2	True	False	False	False	False
(((o(*°▽°*)o)))	HP	0.6491176266704818	LN	0.3451130442166778	HP	1	True	False	False	False	False
((⊂(`ω´∩)	HN-S	0.8812314784982141	LN	0.4936987625460097	nan	0	False	False	False	False	False
((✿◕‿◕))	HP	0.774856133457695	LN	0.5370773089629906	nan	0	False	False	False	False	False
(-_-;)	HN-S	0.8627615044527889	LN	0.3112939307122516	nan	0	False	False	False	False	False
(-‸–)	LN	0.6619002360557396	LN	0.3434108157671432	LN	1	False	False	True	False	False
(..)	LN	0.3911347964754695	LN	0.4072623392459416	nan	0	False	False	True	False	False
(._.)	LN	0.9685541932260192	LP	0.1907486825635995	LN	1	False	False	False	False	False
(/≧▽≦)	HN-D	0.7336406532966713	LN	0.3982110665680903	LP	1	False	False	False	False	False
(/▽＼)	HP	0.4487979294722905	LN	0.292313602185381	nan	0	False	False	False	False	False
(;'ω';)	HN-S	0.5306188013948152	LP	0.2701833366662255	HN-S	1	False	False	False	False	False
(;;)	HN-S	0.980424698538275	LP	0.2084174776077743	LN	6	False	True	False	False	False
(;;_;;)	HN-S	0.9554167073138252	LP	0.2062023735340244	HN-S	2	False	False	False	False	False
(;_;)	LN	0.7908565456132857	LN	0.4267651221627659	LN	3	False	True	True	True	True
(;`ﾉωﾉ´)	HN-S	0.9580733651341165	LN	0.413428700967144	LP	1	False	False	False	False	False
(;´д`)	HN-S	0.4698755382465903	LN	0.4199233506125153	LN	38	False	True	False	False	True
(;´༎ຶд༎ຶ`)	LN	0.599939131691813	LN	0.4954240592497544	LN	12	False	True	True	True	True
(;´∀`)	NB	0.9262772409256924	LN	0.479284904966948	LN	2	False	False	False	False	False
(;´꒳`)	NB	0.4221990211267371	LN	0.4486397322046258	LN	1	False	False	False	False	False
(;ω;)	HN-S	0.8096806900909056	LN	0.5940785429718052	LN	47	False	True	False	False	True
(;д;)	HN-S	0.9555282776113612	LN	0.4457372908757155	HN-S	1	False	False	False	False	False
(;′⌒`)	HN-S	0.4558836724850036	LN	0.5179043210529969	HN-S	25	False	True	False	True	False
(;⁎_⁎)	HN-S	0.5793180037914187	LN	0.5371907872510131	HN-S	1	False	False	False	False	False
(;╹⌓╹)	HN-S	0.9124184263676514	LN	0.4670540377552685	LN	1	True	False	False	False	False
(;へ:)	HN-S	0.5799121895638848	LN	0.53253381994552	HP	1	False	False	False	False	False
(;・`O・´)	HN-S	0.7183748953182582	LN	0.5846301458926249	HN-S	1	False	False	False	False	False
(;・∀・)	NB	0.8968538552486077	LN	0.5808690826217635	nan	0	False	False	False	False	False
(;一_一)	HN-S	0.628195378072002	LN	0.5259059426816164	HN-S	2	False	False	False	False	False
(;︵;)	LN	0.922089933533481	LN	0.5512374996525908	HN-D	1	True	False	True	False	False
(;﹏;)	HN-S	0.7974101972146996	LN	0.5010464411098615	HN-S	1	False	False	False	False	False
(;￣д￣)	HN-S	0.6898663503449609	LN	0.54947988863599	nan	0	False	False	False	False	False
(=^-^=)	LN	0.6653664612142002	HN-S	0.197909779562031	LP	6	False	True	False	False	False
(=^-ω-^=)	LN	0.5100096368602022	HP	0.2001396629000443	NB	22	False	True	False	False	False
(=^-ω^-=)	LN	0.7544481336942357	LP	0.234034525662668	LP	1	False	False	False	False	False
(=^_^=)	LN	0.5129262944945834	HP	0.2244605286135237	LP	2	False	False	False	False	False
(=^・^=)	NB	0.7532680042799292	NB	0.1882081518074448	LP	1	False	False	True	False	False
(=^・ω・^=)	HN-D	0.5932185664890303	HP	0.1925349074388017	LP	19	False	True	False	False	False
(=^・ｪ・^=)	HP	0.505820487651119	HN-S	0.1975450013590409	nan	0	False	False	False	False	False
(=`ω´=)	HN-D	0.9541373157527292	HP	0.1965330838838889	nan	0	False	False	False	False	False
(=ↀωↀ=)	HN-D	0.7691624861434186	HP	0.2019115034974831	LP	1	False	False	False	False	False
(=⌒‿‿⌒=)	LN	0.9586793993378196	LP	0.2208616375487084	nan	0	False	False	False	False	False
(>^_^)	HP	0.9999131742568048	HP	0.1942239700890703	LP	1	False	False	True	False	False
(>_<)	HN-S	0.8060434306605023	LP	0.1813916172280501	HN-S	44	False	True	False	True	False
(>_<;)	HN-S	0.9668576279701164	HN-D	0.176848838147705	HN-S	13	False	True	False	True	False
(>ω<)	HP	0.9994549102350886	LP	0.206900507646517	nan	0	False	False	False	False	False
(>ω<*	HP	0.9999711262150252	LP	0.224134114148282	HP	1	False	False	False	False	False
(>‿◠)	HP	0.997679863736012	HP	0.1882488435184195	HN-S	3	False	True	True	False	False
(>‿◼︵◼<)	HP	0.9772873469305804	HP	0.2272306580198598	LP	1	False	False	True	False	False
(>∀<☆)	HP	0.999976033525274	HP	0.2002857459677894	HP	1	True	False	True	False	False
(>﹏<)	HN-S	0.9081633819838792	HN-S	0.1854370410021316	HN-S	25	True	True	True	True	True
(>﹏<｡)	HN-S	0.6971811570884967	LP	0.2178352766167941	HN-S	7	False	True	False	True	False
