first_word	soft_assignment	soft_margin	proto_sim_HP	proto_sim_LP	proto_sim_HN-D	proto_sim_HN-S	proto_sim_LN	proto_sim_NB	qwen_profile_cos	qwen_emission_HP	qwen_emission_LP	qwen_emission_HN-D	qwen_emission_HN-S	qwen_emission_LN	qwen_emission_NB
(◕‿◕)	NB	0.023000213007973058	0.8108564079296106	0.8422189158334387	0.7179022245063972	0.7532541213437749	0.76365434798118	0.8652191288414117	0.6318392083923048	0.0	0.0	0.0	0.0	0.0	11.0
(・̀‿・́)	NB	0.02859980709117982	0.841114798865117	0.8439760718156051	0.7220600272728872	0.7640408839023565	0.7581556655863451	0.8725758789067849	0.5898048473148501	0.0	0.0	0.0	0.0	0.0	6.0
(｡・̀‿-)	HP	0.01129787129947879	0.8707200496671866	0.8481154338432814	0.7141079599275936	0.7508445468667002	0.7508171987255476	0.8594221783677078	0.3543186440290002	0.0	1.0	0.0	0.0	0.0	0.0
(`・ω・´)	NB	0.03963570808399153	0.8225536791183192	0.8506775366204268	0.764104276535251	0.7933842478061852	0.7965100099845467	0.8903132447044183							
(◕‿◕✿)	NB	0.004991436821173867	0.8297097137992767	0.8114535290279238	0.6972901031079476	0.7324490067358367	0.72416774506052	0.8347011506204506	0.5448684358111199	0.0	9.0	0.0	0.0	0.0	4.0
(´・ω・`)	NB	0.042636874102516154	0.8164212492720684	0.8671194640446267	0.7849453917860075	0.8136319986853856	0.8264712648412603	0.9097563381471429	0.9485193231462538	0.0	11.0	0.0	4.0	9.0	23.0
(◠‿◠)	NB	0.012500111924711343	0.865856191570865	0.8754972668987187	0.7198143833921344	0.7546394502422898	0.7611995092633413	0.88799737882343							
(・_・)	NB	0.04150580333117093	0.8028733257423744	0.8040493015308164	0.6984431520432139	0.7397176852460451	0.7291238314578442	0.8455551048619874	0.6618049032002113	0.0	0.0	0.0	0.0	0.0	8.0
(๑・̀ㅂ・́)	NB	0.03095701475875845	0.8286497458890871	0.832565888682918	0.7062844547759742	0.7558982414990193	0.7478528967693833	0.8635229034416765	0.34838492496743495	0.0	3.0	0.0	0.0	0.0	0.0
(｡・‿・｡)	HP	0.008895175155399393	0.8482247099437732	0.8225853228010928	0.7043185886236633	0.7372029186455502	0.7268262211196884	0.8393295347883738							
(´｡・‿・｡`)	LP	0.038719168803972526	0.7949614755952378	0.8679367610460763	0.6764443995546341	0.7387026287323839	0.776658714944722	0.8292175922421038	0.6831697606157048	0.0	27.0	0.0	0.0	0.0	3.0
(＾▽＾)	NB	0.017909662630070322	0.7983851604478497	0.8408497010539386	0.7370545180575159	0.7678839786103069	0.7797474386522057	0.858759363684009							
(ง・̀_・́)	NB	0.03515729062717665	0.8057434043496254	0.8193464890220417	0.7108157018550303	0.7560331360759925	0.7455896316376532	0.8545037796492183							
(・_・;)	NB	0.04915952484725539	0.8153423052053878	0.8636878675363193	0.7721715892925511	0.8068060257117554	0.8235161375676863	0.9128473923835747	0.6720481471285267	0.0	0.0	0.0	10.0	1.0	21.0
(・‿・)	HP	0.011948119833041448	0.8633041312633974	0.8405584445818255	0.7012666625704179	0.7449108096495238	0.7432802842427936	0.851356011430356	0.4303187733252817	0.0	0.0	0.0	0.0	0.0	2.0
(¬‿¬)	NB	0.044160433715512926	0.8139297937912593	0.8349120352392663	0.7634058671218794	0.7904386672826493	0.7905860243913918	0.8790724689547792	0.7630960640740576	0.0	0.0	0.0	0.0	2.0	9.0
(¬_¬)	NB	0.007293931289132249	0.6927246388418988	0.7081497553811481	0.7709267193142884	0.7586373011080608	0.7507644773937193	0.7782206506034206	0.5223059193914229	0.0	0.0	4.0	0.0	0.0	1.0
(◕_◕)	NB	0.0323615326854747	0.803850489601971	0.8639577974253101	0.7638341722587149	0.8263371248754785	0.8459197234710637	0.8963193301107848							
(・ω・)	NB	0.042651474985418436	0.8220167914090635	0.8904398112868027	0.7560596848494019	0.80532080252872	0.8272383942323236	0.9330912862722212	0.7297196060228054	0.0	0.0	0.0	0.0	0.0	3.0
(￣▽￣)	HP	0.003555518429042781	0.8359191020650909	0.8104799355301191	0.6943738677872879	0.7240212107670759	0.7142409577805586	0.8323635836360481	0.6281882164045937	0.0	1.0	0.0	0.0	0.0	2.0
(⌐■_■)	NB	0.024423343981944234	0.8552305028105989	0.8869256420500351	0.7426302215626109	0.7898840625536442	0.801603081452683	0.9113489860319793	0.6121638724234825	0.0	0.0	0.0	0.0	0.0	4.0
(ﾉ◕ヮ◕)	HP	0.04959614476930585	0.8653961910258804	0.8056752806714232	0.6971132402497172	0.7322046856036639	0.7154547386141402	0.8158000462565745	0.7076928952682178	42.0	1.0	0.0	0.0	0.0	1.0
(￣ー￣)	NB	0.0032069538859674784	0.8457424452695432	0.8519474330774016	0.7108138631819838	0.7393106383188646	0.7489152575629187	0.8551543869633691							
(`_´)	NB	0.029757516176634913	0.7113366917351276	0.7390339872729481	0.7576417313073774	0.7624122864345362	0.7574054759960784	0.7921698026111711							
(｡・ω・｡)	HP	0.023068242204292266	0.8655633543926482	0.8238567480037258	0.7096391606486548	0.7432616252946022	0.724595701241936	0.8424951121883559	0.2852730545322291	0.0	2.0	0.0	0.0	0.0	0.0
(눈_눈)	NB	0.037905983388579534	0.7974653615827845	0.8539215342657737	0.7180367286522418	0.7619994577084205	0.7774594713915571	0.8918275176543532							
(✿◠‿◠)	NB	0.017319329940615025	0.8307662980044783	0.8218063203455978	0.7264933679407343	0.7451776935844366	0.7387971430044415	0.8480856279450933	0.33229721968069026	0.0	7.0	0.0	0.0	0.0	0.0
(・∀・)	NB	0.03187776300232159	0.8046493322391719	0.8285882516245727	0.6935610177629905	0.7385347184238267	0.7474628344615991	0.8604660146268943	0.6370162814973206	0.0	0.0	0.0	0.0	0.0	15.0
(ಠ_ಠ)	NB	0.057635443796643315	0.7464223150841844	0.8042048503906245	0.7488181789771361	0.7891713015509084	0.7870874005635203	0.8618402941872678	-0.4716945135769212	0.0	0.0	1.0	0.0	0.0	0.0
(ง'̀-'́)	NB	0.03759453886229813	0.762618110510033	0.836372125399077	0.72927582179746	0.7665778211918458	0.7766352519334343	0.8739666642613751							
(´∀`)	HP	0.001863462735038568	0.876351328573556	0.8744878658385175	0.7079617383452367	0.7570867945442369	0.7702044810658102	0.8707989423900648							
(´｡・ω・｡`)	NB	0.024014331277726342	0.8163760488344315	0.8459402174787474	0.716666689818106	0.7601221301935297	0.7661123693293709	0.8699545487564737							
(✿◕‿◕)	HP	0.028198359811347218	0.8804954950525844	0.8522971352412372	0.719040435287367	0.7455368266549066	0.7461131358657263	0.8453193789146167							
(｡◕‿◕｡)	LP	0.009087179788234367	0.8497112335897625	0.8587984133779969	0.7086378644562924	0.7320222859279821	0.7453970250779165	0.8427132027793622							
(ᵔᴥᵔ)	NB	0.03606374197714157	0.8113016478879084	0.8402429398165452	0.7355371204243385	0.764259892293794	0.7675687556464212	0.8763066817936868							
ヽ(・‿・)ノ	NB	0.005736091090263851	0.8790457206689396	0.8641320323329379	0.7608135022160276	0.7979992750404912	0.7910926706499694	0.8847818117592035							
(๑˃‿˂)	HP	0.021961119241089233	0.8666041689764116	0.8324216341194616	0.7021952135861675	0.7359096615318501	0.7275776083909404	0.8446430497353223							
(╯°□°)	NB	0.059372034447342736	0.7888413717915541	0.8017497256122192	0.7400126131415048	0.7572927111338434	0.7527093565943025	0.861121760059562	-0.4904947037903063	0.0	0.0	107.0	3.0	0.0	0.0
