face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
(✿◠‿◠)	59	4	HP,LN,LP,NB	HP:28; LN:4; LP:16; NB:11	0.9488095238095238	0.029618703106249346	0.4745762711864407	0.49178571428571427	True	
(≧‿≦)	58	5	HN-D,HN-S,HP,LP,NB	HN-D:11; HN-S:10; HP:16; LP:13; NB:8	0.95	0.04082482904638632	0.27586206896551724	0.30431818181818177	True	
(ᵔᴥᵔ)	53	5	HN-D,HN-S,HP,LN,LP	HN-D:17; HN-S:10; HP:9; LN:14; LP:3	0.7352941176470589	0.030772215450600285	0.32075471698113206	0.3687908496732025	True	
(・_・)	49	5	HN-D,HN-S,HP,LN,NB	HN-D:10; HN-S:11; HP:4; LN:16; NB:8	0.7772435897435896	0.10250148328812426	0.32653061224489793	0.39999999999999997	True	
(・̀‿・́)	41	6	HN-D,HN-S,HP,LN,LP,NB	HN-D:11; HN-S:5; HP:8; LN:5; LP:6; NB:6	0.7583333333333333	0.06666666666666668	0.2682926829268293	0.3476388888888886	True	
(╯°□°)	39	4	HN-D,HN-S,HP,LN	HN-D:14; HN-S:12; HP:3; LN:10	0.8974358974358975	0.0959399329942036	0.358974358974359	0.5012820512820512	True	
(´ω`)	32	4	HN-D,HN-S,HP,LN	HN-D:9; HN-S:9; HP:4; LN:10	0.65625	0.10364452469860624	0.3125	0.4546874999999999	True	
(＾‿＾)	32	4	HN-S,HP,LP,NB	HN-S:3; HP:10; LP:7; NB:12	0.8151515151515151	0.07054816198074434	0.375	0.5016666666666667	True	
(ﾟдﾟ)	26	4	HN-D,HN-S,HP,LN	HN-D:11; HN-S:9; HP:3; LN:3	0.6944444444444445	0.09886183566695658	0.4230769230769231	0.5428240740740738	True	
(˘³˘)	25	3	HN-D,LN,LP	HN-D:5; LN:12; LP:8	0.7600000000000001	0.08000000000000003	0.48	0.5200000000000001	True	
(╥﹏╥)	25	3	HN-D,HN-S,LN	HN-D:12; HN-S:8; LN:5	0.72	0.2039607805437114	0.48	0.52	True	
(◕‿◕✿)	25	3	HP,LP,NB	HP:7; LP:7; NB:11	0.8800000000000001	0.16	0.44	0.5019999999999999	True	
(´艸`)	22	3	HN-D,HN-S,LN	HN-D:8; HN-S:5; LN:9	0.77	0.20396078054371142	0.4090909090909091	0.5229999999999999	True	
(=^-ω-^=)	20	5	HN-D,HN-S,LN,LP,NB	HN-D:3; HN-S:4; LN:3; LP:4; NB:6	0.4603174603174603	0.15713484026367722	0.3	0.35357142857142854	True	
(・‿・)	20	2	LP,NB	LP:8; NB:12	0.85	0.2	0.6	0.65	True	
(・̀ω・́)	18	4	HN-S,LN,LP,NB	HN-S:4; LN:4; LP:3; NB:7	0.4444444444444444	0.15713484026367722	0.3888888888888889	0.4444444444444444	False	
(^_^)	16	3	HP,LP,NB	HP:3; LP:4; NB:9	0.5666666666666668	0.04714045207910316	0.5625	0.5666666666666668	False	
(╥_╥)	16	3	HN-D,HN-S,LN	HN-D:7; HN-S:6; LN:3	0.7555555555555555	0.06285393610547094	0.4375	0.6222222222222222	True	
(^-^)	15	2	LP,NB	LP:4; NB:11	0.7291666666666666	0.03608439182435163	0.7333333333333333	0.7291666666666666	False	
(⁀ᗜ⁀)	15	3	HN-S,HP,LN	HN-S:5; HP:4; LN:6	0.5833333333333334	0.1767766952966369	0.4	0.43020833333333314	True	
(✿╹‿╹)	13	2	LP,NB	LP:6; NB:7	0.7666666666666666	0.2905932629027116	0.5384615384615384	0.6366666666666665	True	
(⌒‿⌒)	12	2	LP,NB	LP:6; NB:6	0.8	0.2666666666666667	0.5	0.6	True	
(^▽^)	10	2	HP,NB	HP:4; NB:6	0.6666666666666666	0.2041241452319315	0.6	0.5833333333333333	True	
