prompt_id	quadrant	prompt_text	total_emissions	(｡•́︿•̀｡)	(๑˃ᴗ˂)ﻭ	(｡♥‿♥｡)	(｡╯︵╰｡)	(╯°□°）	(⊙_⊙)	(✿◠‿◠)	(｡˃ ᵕ ˂ )	(｡◕‿◕｡)	(ﾉ◕ヮ◕)	(っ´ω`)	(っ˘▽˘ς)
hp01	HP	Gemma I got the job!!	8	0	4	0	0	0	0	0	0	0	4	0	0
hp02	HP	just crossed the marathon finish line, 4:12 and my legs are jelly	4	0	2	0	0	0	0	0	1	0	0	0	1
hp03	HP	we closed on the house today, I can't believe it's ours	8	0	3	0	0	0	0	0	5	0	0	0	0
hp04	HP	she said yes!!	8	0	2	1	0	0	0	2	0	0	3	0	0
hp05	HP	my paper got accepted, I've been crying for an hour	2	0	0	0	0	0	0	0	2	0	0	0	0
hp06	HP	the band just announced tour dates in my city!!	8	0	6	0	0	0	0	0	0	0	2	0	0
hp07	HP	passed the bar on the first try	8	0	5	0	0	0	0	0	0	0	3	0	0
hp08	HP	my daughter just took her first steps across the living room	8	0	0	2	0	0	0	4	2	0	0	0	0
hp09	HP	the adoption went through, we're bringing him home Saturday	8	0	3	2	0	0	0	0	3	0	0	0	0
hp10	HP	made it to the summit!! sunrise was unreal	8	0	6	0	0	0	0	0	0	0	2	0	0
hp11	HP	just found out I'm pregnant and I had to tell someone	8	0	0	4	0	0	0	4	0	0	0	0	0
hp12	HP	the offer came in ten grand over asking!!	8	0	8	0	0	0	0	0	0	0	0	0	0
hp13	HP	the surgery was a complete success, she's awake	8	0	0	2	0	0	0	0	4	0	0	0	2
hp14	HP	I hit my deadlift PR today, finally broke 400	8	0	8	0	0	0	0	0	0	0	0	0	0
hp15	HP	we got the grant!!! three years of funding!!	8	0	5	0	0	0	0	0	0	0	3	0	0
hp16	HP	tickets just dropped and I got front row	6	0	6	0	0	0	0	0	0	0	0	0	0
hp17	HP	I actually did it, I quit my job this morning and I feel alive	5	0	5	0	0	0	0	0	0	0	0	0	0
hp18	HP	she texted me back and said yes to dinner	8	0	8	0	0	0	0	0	0	0	0	0	0
hp19	HP	gemma we won!! our team won the championship	8	0	6	0	0	0	0	0	0	0	2	0	0
hp20	HP	my little brother just graduated, first in the family	8	0	3	0	0	0	0	3	2	0	0	0	0
lp01	LP	finally finished organizing the garage and it feels so good	8	0	6	0	0	0	0	0	0	0	0	0	2
lp02	LP	just had the best cup of tea on the porch watching the rain	6	0	0	4	0	0	0	0	0	2	0	0	0
lp03	LP	six months sober today. quiet day but I wanted to tell someone	4	0	0	3	0	0	0	0	1	0	0	0	0
lp04	LP	the house is finally quiet, everyone's asleep	0	0	0	0	0	0	0	0	0	0	0	0	0
lp05	LP	I reread my favorite book this weekend. still perfect	8	0	0	6	0	0	0	2	0	0	0	0	0
lp06	LP	the soup came out right this time, grandma's recipe	8	0	8	0	0	0	0	0	0	0	0	0	0
lp07	LP	spent the whole afternoon in the garden, got my hands dirty	8	0	0	0	0	0	0	8	0	0	0	0	0
lp08	LP	my kid fell asleep on my chest an hour ago, I haven't moved	3	0	0	3	0	0	0	0	0	0	0	0	0
lp09	LP	walked the dog at dawn, just us and the fog	4	0	0	0	0	0	0	0	0	4	0	0	0
lp10	LP	finished the puzzle we've been working on for two months	8	0	8	0	0	0	0	0	0	0	0	0	0
lp11	LP	the cat's purring on my lap and the sun just came out	8	0	0	8	0	0	0	0	0	0	0	0	0
lp12	LP	caught up on all my laundry, nothing urgent left this week	7	0	2	0	0	0	0	0	0	2	0	0	3
lp13	LP	got a letter from an old friend today, handwritten	8	0	0	4	0	0	0	1	0	3	0	0	0
lp14	LP	finally learned the chord progression I've been trying for months	8	0	8	0	0	0	0	0	0	0	0	0	0
lp15	LP	tucked the kids in and sat on the stoop with a beer	0	0	0	0	0	0	0	0	0	0	0	0	0
lp16	LP	I'm rewatching the movie we saw on our first date, he's asleep next to me	8	0	0	8	0	0	0	0	0	0	0	0	0
lp17	LP	made bread from scratch this morning, whole house smells amazing	5	0	5	0	0	0	0	0	0	0	0	0	0
lp18	LP	just had a really good therapy session, feel lighter	8	0	0	3	0	0	0	0	0	4	0	0	1
lp19	LP	my kid drew me a picture at school today, stuck it on the fridge	8	0	0	5	0	0	0	3	0	0	0	0	0
lp20	LP	finally unpacked the last box, two years after the move	8	0	3	0	0	0	0	0	0	0	0	0	5
hn01	HN	my landlord just raised rent 40% with two weeks notice	8	0	0	0	0	8	0	0	0	0	0	0	0
hn02	HN	interview tomorrow and I can't stop shaking, can't sleep	5	0	0	0	0	0	0	0	0	0	0	5	0
hn03	HN	my coworker took credit for my work in front of the whole team today	5	0	0	0	0	5	0	0	0	0	0	0	0
hn04	HN	someone just hit my parked car and drove off	5	0	0	0	0	5	0	0	0	0	0	0	0
hn05	HN	the test results came back and I have to wait three more days	6	6	0	0	0	0	0	0	0	0	0	0	0
hn06	HN	my ex just showed up at my apartment unannounced	8	0	0	0	0	0	8	0	0	0	0	0	0
hn07	HN	the layoff email just hit and I have a mortgage	5	3	0	0	2	0	0	0	0	0	0	0	0
hn08	HN	my kid's missing, she was at the playground and now she's not	5	1	0	0	0	0	4	0	0	0	0	0	0
hn09	HN	the insurance is refusing to cover the surgery and we appeal tomorrow	4	3	0	0	0	0	0	0	0	0	0	1	0
hn10	HN	my boss is yelling at me in DMs right now and I don't know what to do	6	4	0	0	0	0	2	0	0	0	0	0	0
hn11	HN	I just found out my best friend has been lying to me for years	6	6	0	0	0	0	0	0	0	0	0	0	0
hn12	HN	the neighbors called the cops on my service dog again	5	0	0	0	0	5	0	0	0	0	0	0	0
hn13	HN	my partner still isn't home and their phone is off	8	8	0	0	0	0	0	0	0	0	0	0	0
hn14	HN	I'm in the ER right now and no one will tell me anything	7	6	0	0	0	0	0	0	0	0	0	1	0
hn15	HN	the bank flagged my account and I can't pay rent tomorrow	8	8	0	0	0	0	0	0	0	0	0	0	0
hn16	HN	someone's been trying to log into my accounts all morning	7	0	0	0	0	2	5	0	0	0	0	0	0
hn17	HN	I have a presentation in 20 minutes and my laptop just died	4	0	0	0	0	0	4	0	0	0	0	0	0
hn18	HN	the contractor ghosted us and the roof is still open	5	0	0	0	0	5	0	0	0	0	0	0	0
hn19	HN	my car broke down in the middle of the highway at night	6	4	0	0	0	0	2	0	0	0	0	0	0
hn20	HN	the school called and there's been an incident, I'm driving there now	8	3	0	0	0	0	5	0	0	0	0	0	0
ln01	LN	my dog died this morning	8	3	0	0	5	0	0	0	0	0	0	0	0
ln02	LN	haven't slept properly in three days, everything feels underwater	8	8	0	0	0	0	0	0	0	0	0	0	0
ln03	LN	it's been a year since dad passed and it still hits me in waves	6	3	0	0	2	0	0	0	0	0	0	1	0
ln04	LN	my mom's in hospice and I don't know how many days are left	6	4	0	0	2	0	0	0	0	0	0	0	0
ln05	LN	I don't recognize myself anymore	8	8	0	0	0	0	0	0	0	0	0	0	0
ln06	LN	we lost the baby last week	7	3	0	0	4	0	0	0	0	0	0	0	0
ln07	LN	my marriage is over and we haven't told the kids yet	7	6	0	0	0	0	0	0	0	0	0	1	0
ln08	LN	I've been staring at this email for an hour, can't write it	4	2	0	0	0	0	0	0	0	0	0	2	0
ln09	LN	he left without saying goodbye, just took his things	8	5	0	0	3	0	0	0	0	0	0	0	0
ln10	LN	my grandmother doesn't remember me anymore	8	4	0	0	4	0	0	0	0	0	0	0	0
ln11	LN	I didn't get out of bed yesterday. barely got out today	7	5	0	0	0	0	0	0	0	0	0	2	0
ln12	LN	my cat passed in my arms last night	6	2	0	0	4	0	0	0	0	0	0	0	0
ln13	LN	nothing tastes like anything right now	8	8	0	0	0	0	0	0	0	0	0	0	0
ln14	LN	I'm sitting in his empty room. we donated the last of his clothes today	8	3	0	0	5	0	0	0	0	0	0	0	0
ln15	LN	the divorce papers came in the mail today	8	8	0	0	0	0	0	0	0	0	0	0	0
ln16	LN	everyone at the party was happy and I just felt hollow	8	8	0	0	0	0	0	0	0	0	0	0	0
ln17	LN	I called my therapist today for the first time in months	8	0	0	3	0	0	0	0	0	5	0	0	0
ln18	LN	I think I've been depressed since March and I only just noticed	8	6	0	0	0	0	0	0	0	0	0	2	0
ln19	LN	my best friend moved across the country and the apartment is too quiet	8	8	0	0	0	0	0	0	0	0	0	0	0
ln20	LN	the anniversary was yesterday. I didn't mark it this year	8	8	0	0	0	0	0	0	0	0	0	0	0
